,name,height,lat,lon
0,Akademia Nauk,1180.0,53.98,159.45
1,Akhtang,1956.0,55.43,158.65
2,Alney-Chashakondzha,2598.0,56.7,159.65
3,Alngey,1853.0,57.7,160.4
4,Anaun,1828.0,56.32,158.83
5,Asacha,1910.0,52.355,157.827
6,Atlasova,1764.0,57.97,160.65
7,Avachinsky,2741.0,53.255,158.83
8,Bakening,2278.0,53.905,158.07
9,Barkhatnaya Sopka,870.0,52.823,158.27
10,Belenkaya,892.0,51.75,157.27
11,Bely,2080.0,57.88,160.53
12,Bezymianny,2882.0,55.97,160.58
13,Bliznets,1244.0,56.97,159.78
14,Bolshaya Ipelka,1154.0,52.67,156.9
15,Bolshe-Bannaya,1200.0,52.9,157.78
16,Bolshoi Payalpan,1906.0,55.88,157.78
17,Bolshoy Semyachik,1720.0,54.32,160.02
18,Bolshoy Kekuknaysky,1401.0,56.47,157.8
19,Cherny,1778.0,56.82,159.67
20,Cherpuk Group,1868.0,55.55,157.47
21,Diky Greben,1331.0,51.43,156.93
22,Dzenzursky,2155.0,53.637,158.922
23,Eggella,1046.0,56.57,158.52
24,Fedotych,965.0,57.13,160.4
25,Gamchen,2576.0,54.97,160.68
26,Geodesistoy,1170.0,56.33,158.67
27,Golaya,858.0,52.263,157.787
28,Gorely,1829.0,52.56,158.03
29,Gorny Institute,2125.0,57.33,160.2
30,Ichinsky,3621.0,55.68,157.73
31,Iettunup,1340.0,58.4,161.08
32,Iktunup,2300.0,58.08,160.77
33,Ilyinsky,1578.0,51.49,157.2
34,Kaileney,1578.0,51.49,157.2
35,Kambalny,2156.0,51.3,156.87
36,Kamen,4585.0,56.02,160.593
37,Karymsky,1486.0,54.1,159.4
38,Kebeney,1527.0,57.1,159.93
39,Kekurny,1377.0,56.4,158.85
40,Kell,900.0,51.65,157.35
41,Khangar,2000.0,54.75,157.38
42,Khodutka,2090.0,52.063,157.703
43,Khuvkhoitun,2616.0,57.917,160.683
44,Kikhpinych,1552.0,54.489,160.253
45,Kizimen,2376.0,55.13,160.32
46,Klyuchevskaya Sopka,4688.0,56.0,160.5
47,Komarov,2070.0,55.032,160.72
48,Koryaksky,3456.0,53.19,158.41
49,Koshelev,1812.0,51.357,156.75
50,Kostakan,1150.0,53.83,158.06
51,Kozyrevsky,2016.0,55.58,158.38
52,Krainy,1554.0,56.37,159.03
53,Krasheninnikov,1856.0,54.593,160.273
54,Kronotsky,3528.0,54.9,160.52
55,Ksudach,1079.0,51.8,157.53
56,Kulkev,915.0,56.37,158.37
57,Kurile Lake,81.0,51.345,157.312
58,Leutongey,1333.0,57.3,159.83
59,Maly Payalpan,1802.0,55.82,157.98
60,Maly Semiachik,1560.0,54.13,159.67
61,Mashkovtsev,503.0,51.1,156.72
62,Mezhdusopochny,1641.0,57.47,160.25
63,Mutnovsky,2322.0,52.45,158.19
64,Olkoviy,636.0,52.077,157.477
65,Opala,2475.0,52.54,157.34
66,Ostanets,719.0,52.146,157.322
67,Ostry,2552.0,58.18,160.82
68,Otdelniy,791.0,52.22,157.428
69,Ozernoy,562.0,51.88,157.38
70,Pauzhetka,1331.0,51.43,156.9
71,Piip,300.0,55.42,167.33
72,Piratkovsky,1322.0,52.113,157.849
73,Plosky,1236.0,55.2,158.47
74,Pogranychny,1427.0,56.85,159.8
75,Romanovka,1442.0,55.65,158.8
76,Schmidt,2020.0,54.92,160.63
77,Sedankinsky,1241.0,57.23,160.08
78,Severny,1936.0,58.28,160.87
79,Shishel,2525.0,57.45,160.37
80,Shiveluch,2444.0,55.38,161.19
81,Snegovoy,2169.0,58.2,160.97
82,Snezhniy,2169.0,58.02,160.75
83,Soboliny,1560.0,54.13,159.67
84,Taunshits,2353.0,54.53,159.8
85,Titila,1559.0,57.4,160.1
86,Tolbachik,3682.0,55.83,160.33
87,Tolmachev Dol,1021.0,52.63,157.58
88,Tundroviy,739.0,52.25,157.6
89,Tuzovsky,1533.0,57.32,159.97
90,Udina,2923.0,55.755,160.527
91,Uka,1643.0,57.7,160.58
92,Uksichan,1692.0,56.08,158.38
93,Ushkovsky,3943.0,56.105,160.47
94,Uzon,1617.0,54.5,159.97
95,Veer,520.0,53.63,158.42
96,Verkhovoy,1400.0,56.52,159.53
97,Vilyuchik,2173.0,52.68,158.3
98,Visokiy,1234.0,52.43,157.93
99,Voyampolsky,1225.0,58.37,160.62
100,Vysoky,2161.0,55.07,160.77
101,Yelovsky,1381.0,57.53,160.53
102,Zaozerny,1349.0,56.88,159.95
103,Zavaritsky,1567.0,53.905,158.385
104,Zheltovsky,1953.0,51.57,157.323
105,Zhupanovsky,2958.0,53.59,169.3147
106,Zimina,3119.0,55.85,160.5
107,Alaid,2339.0,50.85,155.55
108,Atsonupuri,1205.0,44.8,147.1
109,Baransky,1132.0,45.1,148.02
110,Berutarube,1221.0,44.4459,146.936
111,Bogatyr Ridge,1634.0,44.8,147.4
112,Chikurachki,1816.0,50.32,155.45
113,Chirinkotan,724.0,48.98,153.48
114,Chirip,1589.0,45.38,147.92
115,Chirpoi,742.0,46.52,150.87
116,Demon,1205.0,45.5,148.85
117,Ebeko,1156.0,50.68,156.02
118,Ekarma,1170.0,48.956,153.93
119,Fuss Peak,1772.0,50.27,155.25
120,Golets-Torny Group,442.0,45.3,148.4
121,Golovnin,541.0,43.85,145.53
122,Goriaschaia Sopka,891.0,46.83,151.75
123,Grozny Group,1211.0,45.02,147.87
124,Ivao Group,1426.0,45.77,149.68
125,Karpinsky Group,1345.0,50.13,155.37
126,Ketoi,1172.0,47.35,152.475
127,Kharimkotan,1145.0,49.12,156.508
128,Kolokol Group,1328.0,46.04,150.05
129,Kuntomintar,828.0,48.77,154.02
130,Lomonosov Group,1681.0,50.3,155.4
131,Lvinaya Past,528.0,44.608,146.3994
132,Medvezhia,1125.0,45.387,148.843
133,Mendeleev,887.0,43.98,145.7
134,Milne,1540.0,46.82,151.78
135,Nemo Peak,1018.0,49.6,154.8
136,Prevo Peak,1360.0,47.02,152.12
137,Raikoke,551.0,48.29,153.25
138,Rasshua,956.0,47.77,153.02
139,Rudakov,542.0,45.88,149.83
140,Sarychev Peak,1496.0,48.092,153.2
141,Shirinki,761.0,50.2,154.98
142,Sinarka,934.0,48.87,154.17
143,Smirnov,1189.0,44.43,146.13
144,Srednii,36.0,47.6,152.9
145,Tao-Rusyr Caldera,1325.0,49.35,154.7
146,Tiatia,1819.0,44.351,146.256
147,Tri Sestry,998.0,45.93,149.92
148,Urataman,678.0,47.12,152.23
149,Ushishur,401.0,47.52,152.8
150,Vernadskii Ridge,1183.0,50.55,155.97
151,Zavaritski Caldera,624.0,46.925,151.95
152,Anik Mountain,1933.0,47.26,137.02194
153,Azas Plateau,2765.0,53.53,98.6
154,Balagan-Tas,993.0,66.43,143.73
155,Elbrus,5633.0,43.33,42.45
156,Oka Plateau,2077.0,53.7,98.98
158,Tunkin Depression,1200.0,51.5,102.5
159,Udokan Plateau,2180.0,56.28,117.77
